date,outflow,type
1962-10-01,0.9,2
1962-10-02,0.7,2
1962-10-03,1.3,2
1962-10-04,0.9,2
1962-10-05,0.8,2
1962-10-06,0.7,2
1962-10-07,0.6,2
1962-10-08,0.6,2
1962-10-09,0.6,2
1962-10-10,0.5,2
1962-10-11,0.6,2
1962-10-12,0.7,2
1962-10-13,0.9,2
1962-10-14,1.5,2
1962-10-15,1.6,2
1962-10-16,2.8,2
1962-10-17,2.0,2
1962-10-18,1.5,2
1962-10-19,1.1,2
1962-10-20,0.9,2
1962-10-21,0.8,2
1962-10-22,0.7,2
1962-10-23,0.7,2
1962-10-24,0.7,2
1962-10-25,0.6,2
1962-10-26,0.7,2
1962-10-27,2.8,2
1962-10-28,1.9,2
1962-10-29,1.4,2
1962-10-30,1.4,2
1962-10-31,4.9,2
1962-11-01,4.7,2
1962-11-02,3.9,2
1962-11-03,5.1,2
1962-11-04,3.7,2
1962-11-05,2.9,2
1962-11-06,2.5,2
1962-11-07,2.0,2
1962-11-08,1.7,2
1962-11-09,3.8,2
1962-11-10,4.7,2
1962-11-11,3.3,2
1962-11-12,3.5,2
1962-11-13,3.4,2
1962-11-14,2.9,2
1962-11-15,2.5,2
1962-11-16,2.3,2
1962-11-17,2.2,2
1962-11-18,4.4,2
1962-11-19,4.7,2
1962-11-20,3.8,2
1962-11-21,5.4,2
1962-11-22,8.9,2
1962-11-23,8.2,2
1962-11-24,5.8,2
1962-11-25,4.9,2
1962-11-26,4.3,2
1962-11-27,3.9,2
1962-11-28,3.6,2
1962-11-29,3.5,2
1962-11-30,3.3,2
1962-12-01,3.2,2
1962-12-02,3.2,2
1962-12-03,3.2,2
1962-12-04,3.1,2
1962-12-05,2.9,2
1962-12-06,2.8,2
1962-12-07,2.6,2
1962-12-08,2.5,2
1962-12-09,2.3,2
1962-12-10,2.8,2
1962-12-11,2.8,2
1962-12-12,3.0,2
1962-12-13,3.3,2
1962-12-14,3.2,2
1962-12-15,3.5,2
1962-12-16,10.7,2
1962-12-17,60.2,2
1962-12-18,36.3,2
1962-12-19,18.7,2
1962-12-20,20.1,2
1962-12-21,21.3,2
1962-12-22,22.6,2
1962-12-23,16.7,2
1962-12-24,12.9,2
1962-12-25,11.1,2
1962-12-26,8.2,2
1962-12-27,8.5,2
1962-12-28,7.7,2
1962-12-29,6.9,2
1962-12-30,7.4,2
1962-12-31,8.2,2
1963-01-01,7.4,2
1963-01-02,8.4,2
1963-01-03,12.3,2
1963-01-04,10.4,2
1963-01-05,9.2,2
1963-01-06,8.1,2
1963-01-07,8.2,2
1963-01-08,8.2,2
1963-01-09,8.9,2
1963-01-10,10.4,2
1963-01-11,9.8,2
1963-01-12,9.4,2
1963-01-13,8.4,2
1963-01-14,6.5,2
1963-01-15,5.6,2
1963-01-16,5.0,2
1963-01-17,4.6,2
1963-01-18,4.2,2
1963-01-19,4.1,2
1963-01-20,4.1,2
1963-01-21,3.9,2
1963-01-22,3.6,2
1963-01-23,3.3,2
1963-01-24,3.2,2
1963-01-25,2.9,2
1963-01-26,2.8,2
1963-01-27,2.6,2
1963-01-28,2.5,2
1963-01-29,2.3,2
1963-01-30,2.3,2
1963-01-31,2.3,2
1963-02-01,2.2,2
1963-02-02,2.1,2
1963-02-03,2.0,2
1963-02-04,1.9,2
1963-02-05,1.9,2
1963-02-06,1.9,2
1963-02-07,1.8,2
1963-02-08,1.8,2
1963-02-09,1.7,2
1963-02-10,1.7,2
1963-02-11,1.8,2
1963-02-12,1.8,2
1963-02-13,2.2,2
1963-02-14,2.0,2
1963-02-15,2.0,2
1963-02-16,2.9,2
1963-02-17,3.5,2
1963-02-18,3.0,2
1963-02-19,3.7,2
1963-02-20,3.2,2
1963-02-21,3.1,2
1963-02-22,2.8,2
1963-02-23,2.7,2
1963-02-24,2.5,2
1963-02-25,2.6,2
1963-02-26,2.9,2
1963-02-27,3.0,2
1963-02-28,3.2,2
1963-03-01,3.6,2
1963-03-02,3.5,2
1963-03-03,3.5,2
1963-03-04,4.1,2
1963-03-05,4.3,2
1963-03-06,5.2,2
1963-03-07,6.4,2
1963-03-08,8.9,2
1963-03-09,8.4,2
1963-03-10,7.1,2
1963-03-11,9.0,2
1963-03-12,8.4,2
1963-03-13,6.6,2
1963-03-14,5.5,2
1963-03-15,5.2,2
1963-03-16,5.9,2
1963-03-17,8.2,2
1963-03-18,11.4,2
1963-03-19,9.8,2
1963-03-20,11.3,2
1963-03-21,12.4,2
1963-03-22,21.7,2
1963-03-23,13.7,2
1963-03-24,11.3,2
1963-03-25,8.9,2
1963-03-26,8.2,2
1963-03-27,8.9,2
1963-03-28,10.7,2
1963-03-29,10.3,2
1963-03-30,9.5,2
1963-03-31,12.2,2
1963-04-01,11.0,2
1963-04-02,10.4,2
1963-04-03,9.6,2
1963-04-04,8.9,2
1963-04-05,7.8,2
1963-04-06,6.7,2
1963-04-07,5.8,2
1963-04-08,5.9,2
1963-04-09,12.1,2
1963-04-10,13.7,2
1963-04-11,11.0,2
1963-04-12,10.3,2
1963-04-13,9.2,2
1963-04-14,8.9,2
1963-04-15,9.8,2
1963-04-16,11.8,2
1963-04-17,12.6,2
1963-04-18,12.1,2
1963-04-19,12.2,2
1963-04-20,11.1,2
1963-04-21,13.0,2
1963-04-22,11.7,2
1963-04-23,11.8,2
1963-04-24,11.7,2
1963-04-25,12.1,2
1963-04-26,12.4,2
1963-04-27,12.2,2
1963-04-28,11.7,2
1963-04-29,11.7,2
1963-04-30,11.5,2
1963-05-01,11.3,2
1963-05-02,11.7,2
1963-05-03,11.3,2
1963-05-04,10.4,2
1963-05-05,10.8,2
1963-05-06,11.3,2
1963-05-07,11.9,2
1963-05-08,12.2,2
1963-05-09,13.5,2
1963-05-10,12.7,2
1963-05-11,12.5,2
1963-05-12,12.3,2
1963-05-13,12.9,2
1963-05-14,12.7,2
1963-05-15,13.1,2
1963-05-16,13.5,2
1963-05-17,12.3,2
1963-05-18,11.9,2
1963-05-19,11.6,2
1963-05-20,11.6,2
1963-05-21,11.7,2
1963-05-22,11.4,2
1963-05-23,10.5,2
1963-05-24,10.1,2
1963-05-25,9.2,2
1963-05-26,8.9,2
1963-05-27,9.6,2
1963-05-28,9.2,2
1963-05-29,9.2,2
1963-05-30,9.2,2
1963-05-31,8.3,2
1963-06-01,10.9,2
1963-06-02,10.9,2
1963-06-03,10.9,2
1963-06-04,10.2,2
1963-06-05,10.3,2
1963-06-06,11.5,2
1963-06-07,11.1,2
1963-06-08,10.6,2
1963-06-09,10.7,2
1963-06-10,11.0,2
1963-06-11,10.5,2
1963-06-12,10.6,2
1963-06-13,10.8,2
1963-06-14,10.7,2
1963-06-15,10.7,2
1963-06-16,10.6,2
1963-06-17,10.6,2
1963-06-18,10.7,2
1963-06-19,10.8,2
1963-06-20,10.7,2
1963-06-21,10.8,2
1963-06-22,11.1,2
1963-06-23,11.1,2
1963-06-24,11.0,2
1963-06-25,10.7,2
1963-06-26,10.4,2
1963-06-27,10.6,2
1963-06-28,11.0,2
1963-06-29,10.4,2
1963-06-30,9.6,2
1963-07-01,8.9,2
1963-07-02,8.9,2
1963-07-03,8.9,2
1963-07-04,8.8,2
1963-07-05,8.2,2
1963-07-06,8.0,2
1963-07-07,8.0,2
1963-07-08,7.9,2
1963-07-09,7.9,2
