date,storage,outflow,type
1994-02-08,3.0,0.0,1
1994-02-09,3.76,16.0,1
1994-02-10,3.94,16.0,1
1994-02-11,4.09,17.0,1
1994-02-12,4.15,17.0,1
1994-02-13,3.76,16.0,1
1994-02-14,3.39,16.0,1
1994-02-15,3.63,16.0,1
1994-02-16,3.82,16.0,1
1994-02-17,4.04,16.0,1
1994-02-18,4.16,17.0,1
1994-02-19,4.2,17.0,1
1994-02-20,3.79,16.0,1
1994-02-21,3.35,16.0,1
1994-02-22,3.61,16.0,1
1994-02-23,3.84,16.0,1
1994-02-24,4.02,16.0,1
1994-02-25,4.15,17.0,1
1994-02-26,4.19,17.0,1
1994-02-27,3.77,16.0,1
1994-02-28,4.16,16.0,1
1994-03-01,3.63,16.0,1
1994-03-02,3.85,16.0,1
1994-03-03,4.03,16.0,1
1994-03-04,4.13,18.0,1
1994-03-05,4.19,18.0,1
1994-03-06,3.77,16.0,1
1994-03-07,3.38,16.0,1
1994-03-08,3.59,16.0,1
1994-03-09,3.79,16.0,1
1994-03-10,3.98,16.0,1
1994-03-11,4.08,18.0,1
1994-03-12,4.11,18.0,1
1994-03-13,3.61,17.0,1
1994-03-14,3.05,17.0,1
1994-03-15,3.17,17.0,1
1994-03-16,3.18,17.0,1
1994-03-17,3.26,17.0,1
1994-03-18,3.29,17.0,1
1994-03-19,3.35,17.0,1
1994-03-20,2.85,17.0,1
1994-03-21,2.33,19.4,1
1994-03-22,2.58,22.27,1
1994-03-23,2.79,18.75,1
1994-03-24,2.87,18.0,1
1994-03-25,2.96,18.0,1
1994-03-26,3.07,18.0,1
1994-03-27,3.0,18.0,1
1994-03-28,2.87,18.0,1
1994-03-29,2.81,18.0,1
1994-03-30,2.75,18.0,1
1994-03-31,2.69,18.22,1
1994-04-01,2.61,18.22,1
1994-04-02,2.52,18.22,1
1994-04-03,2.45,18.22,1
1994-04-04,2.42,18.22,1
1994-04-05,2.37,18.22,1
1994-04-06,2.35,17.958,1
