date,storage,outflow,type
1995-12-01,0.373,0.14,1
1995-12-02,0.373,0.14,1
1995-12-03,0.373,0.14,1
1995-12-04,0.363,0.14,1
1995-12-05,0.363,0.14,1
1995-12-06,0.363,0.14,1
1995-12-07,0.363,0.14,1
1995-12-08,0.363,0.15,1
1995-12-09,0.363,0.15,1
1995-12-10,0.363,0.15,1
1995-12-11,0.363,0.15,1
1995-12-12,0.307,0.659,1
1995-12-13,0.307,0.15,1
1995-12-14,0.307,0.15,1
1995-12-15,0.307,0.15,1
1995-12-16,0.307,0.15,1
1995-12-17,0.307,0.15,1
1995-12-18,0.307,0.15,1
1995-12-19,0.307,0.15,1
1995-12-20,0.307,0.15,1
1995-12-21,0.307,0.15,1
1995-12-22,0.316,0.15,1
1995-12-23,0.316,0.15,1
1995-12-24,0.316,0.15,1
1995-12-25,0.316,0.15,1
1995-12-26,0.316,0.15,1
1995-12-27,0.307,0.24,1
1995-12-28,0.307,0.24,1
1995-12-29,0.302,0.25,1
1995-12-30,0.302,0.25,1
1995-12-31,0.307,0.25,1
1996-01-01,0.307,0.54,1
1996-01-02,0.307,8.0,1
1996-01-03,0.307,8.0,1
1996-01-04,0.251,8.0,1
1996-01-05,0.165,7.0,1
1996-01-06,0.235,7.99,1
1996-01-07,0.326,7.99,1
1996-01-08,0.389,9.03,1
1996-01-09,0.194,14.0,1
1996-01-10,0.326,14.0,1
1996-01-11,0.789,98.38,1
1996-01-12,1.606,0.09,1
1996-01-13,2.507,0.5,1
1996-01-14,3.167,0.5,1
1996-01-15,3.704,0.5,1
1996-01-16,4.3,0.65,1
1996-01-17,4.814,0.65,1
1996-01-18,5.23,0.67,1
1996-01-19,5.648,0.67,1
1996-01-20,6.057,0.67,1
1996-01-21,6.602,0.67,1
1996-01-22,14.292,0.69,1
1996-01-23,20.167,11.38,1
1996-01-24,23.04,20.0,1
1996-01-25,24.254,20.0,1
1996-01-26,25.242,20.0,1
1996-01-27,25.645,20.0,1
1996-01-28,29.89,20.0,1
1996-01-29,35.586,43.33,1
1996-01-30,36.184,50.4,1
1996-01-31,35.45,50.4,1
1996-02-01,34.446,50.4,1
1996-02-02,37.243,50.4,1
1996-02-03,37.42,50.4,1
1996-02-04,36.374,50.4,1
1996-02-05,35.071,50.4,1
1996-02-06,33.995,50.4,1
