indroea,lugar,comentario,serv,suprest,suprcnc,hoja_id,alti,altimax,naa,naam,naai,num_cuenca,muni_id,xutm,yutm,xutm30,yutm30,long,lat,longwgs84,latwgs84,observ1,xetrs89,yetrs89,cod_saih
2034,BESANDE,,1,32,73,105,1270.000,1820.000,60,60,16,2196,24020,346172,4751298,346172,4751298,-45303,425353,-45308,425349,,346064,4751092,
2035,OTERO DE GUARDO,,1,72,73,106,1127.000,1820.000,60,60,29,2196,34199,348948,4743768,348948,4743768,-45053,424951,-45058,424947,,348840,4743562,
2036,QUINTANA DEL PUENTE,,1,5256,5380,274,740.000,2131.000,97,107,45,2193,34084,397462,4656950,397462,4656950,-41421,420326,-41426,420322,,397354,4656743,
2042,PALENCIA,,1,2222,3407,273,740.000,2497.000,98,108,44,2203,34079,371126,4655182,371126,4655183,-43325,420215,-43330,420210,,371018,4654976,
2043,CABEZON DE PISUERGA,,1,14283,15828,343,698.000,2139.000,80,90,60,2206,47027,363795,4622535,363795,4622535,-43817,414432,-43821,414428,,363687,4622328,
2046,AVILA,,1,770,5275,531,1066.000,2297.000,96,106,38,2214,5019,355772,4501495,355772,4501495,-44221,403904,-44226,403859,,355663,4501288,
2050,SEGOVIA,,1,252,2968,483,900.000,2430.000,87,97,40,2219,40194,403507,4534119,403507,4534119,-40852,405702,-40847,405707,DATOS MODIFICADOS 2014-15 (ANUARIO 15-16)                                                           ,403398,4533912,
2051,"ESPINAR, EL",,1,35,2193,508,1260.000,2139.000,68,68,48,2222,40076,402557,4511890,402557,4511890,-40915,404505,-40920,404501,,402448,4511683,
2052,GUIJAS ALBAS,,1,252,695,507,940.000,2193.000,61,61,42,2222,40211,391920,4519759,391920,4519759,-41654,404916,-41658,404911,,391811,4519552,
2053,BERNARDOS,,1,1438,2968,456,782.000,2430.000,57,57,30,2227,40030,387275,4557134,387275,4557134,-42036,410925,-42041,410921,,387166,4556927,
2054,SAN MIGUEL DEL PINO,,1,36570,97620,371,670.000,2815.000,91,101,40,2231,47146,338985,4596727,338985,4596727,-45545,413019,-45550,413015,,338876,4596520,
2057,VILLOVELA DE PIRON,,1,172,1020,457,869.000,2200.000,49,49,32,2113,40075,405705,4552136,405705,4552136,-40723,410652,-40728,410647,,405596,4551929,
2060,CEBRONES DEL RIO,,1,3192,5039,231,754.000,2417.000,49,49,31,2303,24053,266703,4681447,266703,4681447,-54940,421459,-54945,421454,,266593,4681240,
2062,TORO-DUERO,,1,41808,97620,370,637.000,2315.000,98,108,36,2247,49219,298767,4598960,298767,4598960,-52441,413059,-52446,413054,,298658,4598753,
2068,CALDAS DE NOCEDO,,1,154,296,104,1094.000,2067.000,65,65,31,2266,24177,304140,4752480,304140,4752480,-52356,425357,-52401,425353,,304031,4752275,
2074,CASTROPEPE,,1,6783,16081,308,703.000,2408.000,93,103,43,2284,49257,281660,4650491,281660,4650491,-53807,415832,-53812,415827,,281551,4650284,
2082,MORALES DEL REY,,1,650,657,270,724.000,2188.000,79,87,44,2308,49128,271646,4660092,271646,4660092,-54535,420332,-54540,420328,,271536,4659885,
2089,MORLA DE LA VALDERIA,,1,280,657,230,965.000,2188.000,79,79,33,2308,24047,726887,4678357,231680,4679817,-61504,421325,-61509,421321,,231570,4679610,
2097,VALLADOLID-PISUERGA,,1,15638,15828,372,690.000,2139.000,51,51,31,2210,47186,355877,4613814,355877,4613814,-44352,413944,-44357,413940,,355769,4613607,
2101,MOLINOS DE DUERO,,1,135,97620,317,1100.000,2315.000,90,100,41,2003,42117,517868,4637657,517868,4637657,-24705,415324,-24709,415320,,517760,4637449,
2104,VILLAVERDE DE ARCAYOS,,1,355,1997,163,878.000,1763.000,57,57,31,2281,24004,332900,4720100,332900,4720100,-50214,423652,-50219,423648,,332791,4719894,
2109,SALIDA EMBALSE DE ARLANZON,,1,107,2659,239,1107.000,2131.000,96,106,43,2170,9463,472105,4679982,472105,4679982,-32018,421615,-32022,421611,,471998,4679774,
2116,CELADA DEL CAMINO,,1,1702,2659,237,805.000,2131.000,44,44,32,2188,9125,423560,4678740,423560,4678740,-35536,421523,-35541,421519,,423452,4678533,
2126,VILLARDIGA,,1,1462,3558,341,672.000,1100.000,44,44,28,2250,49035,292444,4627724,292444,4627724,-52950,414625,-52955,414620,,292335,4627518,
2132,QUINTANILLA DE ONESIMO,,1,12093,97620,373,721.000,2315.000,45,45,32,2111,47129,386697,4609626,386697,4609626,-42137,413747,-42141,413742,,386589,4609419,
2818,RABAL,,1,719,3310,303,366.000,,51,50,14,2388,32053,630019,4634370,131881,4642697,-72602,415059,-72607,415055,,131770,4642490,
9002,CASTEJON,,1,25194,85001,242,265.000,2886.000,87,89,58,9241,31070,607902,4670804,607902,4670804,-14136,421052,-14141,421048,DATOS MODIFICADOS DE 1996-97 A 2006-07 (ANUARIO 15-16)                                              ,607794,4670595,A002
9003,ANDOSILLA,,1,1445,1461,205,304.000,1438.000,96,107,43,9152,31015,586644,4692055,586644,4692055,-15652,422231,-15656,422227,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,586537,4691846,A003
9004,FUNES,,1,2759,2759,244,284.000,1494.000,95,105,27,9231,31107,598895,4685633,598895,4685633,-14760,421857,-14804,421853,DATOS MODIFICADOS DE 1980-81 A 2018-19 (ANUARIO 19-20)                                              ,598788,4685424,A004
9005,CAPARROSO,,1,5469,8521,206,302.000,2886.000,98,108,41,9210,31065,611264,4688981,611264,4688981,-13857,422040,-13902,422036,DATOS MODIFICADOS DE 1965-66 A 1984-85 RESPECTO A PUBLICADOS                                        ,611157,4688772,A005
9011,ZARAGOZA,,1,40434,85001,383,201.000,2886.000,98,109,63,9289,50297,676533,4614247,676533,4614247,-5247,413935,-5252,413931,DATOS MODIFICADOS DE 1996-97 A 2006-07 (ANUARIO 15-16)                                              ,676425,4614038,A011
9013,GRAUS,,1,893,1532,250,450.000,3404.000,78,82,55,9589,22117,280944,4676145,776290,4678160,2048,421222,2043,421218,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,776182,4677949,A013
9018,JACA,,1,238,8521,176,793.000,2886.000,80,90,54,9166,22130,700812,4717118,700812,4717118,-3311,423447,-3316,423443,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,700705,4716908,A018
9021,PUIGCERDA,,1,311,22579,217,1120.000,2909.000,81,86,42,9383,17141,905987,4708819,905987,4708819,15604,422529,15559,422525,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,905879,4708608,A021
9022,SEO DE URGEL,,1,559,562,215,697.000,2865.000,94,103,49,9424,25203,372704,4691171,866845,4699632,12715,422142,12711,422138,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,866737,4699421,A022
9023,SEO DE URGEL,,1,1233,22579,215,670.000,2921.000,93,93,46,9401,25203,867444,4698760,867444,4698760,12739,422113,12735,422109,"LOS DATOS DE 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",867336,4698549,A023
9027,TORTOSA,,1,84230,85001,522,25.000,3404.000,90,95,52,9662,43155,290895,4521074,796985,4524084,3115,404848,3111,404844,DATOS MODIFICADOS 2011-12 Y 2012-13 (ANUARIO 13-14). DATOS DE 2011-12 PENDIENTES DE REVISION        ,796876,4523874,A027
9032,PERALTA DE ALCOFEA,,1,362,362,325,310.000,2077.000,75,80,28,9618,22124,738321,4643896,738321,4643896,-736,415437,-741,415433,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,738213,4643686,A032
9033,PERALTA DE ALCOFEA,,1,765,3385,325,310.000,2077.000,76,81,28,9615,22124,738512,4644293,738512,4644293,-727,415450,-732,415446,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,738404,4644083,A033
9038,TORREMONTALVO,,1,1090,1100,203,420.000,2202.000,73,78,48,9124,26046,526066,4705363,526066,4705363,-24058,422958,-24103,422954,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,525959,4705155,A038
9040,BOLTAÑA,,1,626,718,211,680.000,3355.000,77,77,24,9561,22066,317354,4700803,753305,4703010,4646,422614,4642,422610,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,753198,4702800,A040
9041,NAVARRETE DEL RIO,,1,364,465,491,904.000,1496.000,77,88,17,9276,44050,646619,4532671,646619,4532671,-11531,405553,-11536,405549,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,646510,4532462,A041
9043,SAN PEDRO MANRIQUE,,1,105,365,280,1060.000,1709.000,69,72,27,9237,42165,564440,4652433,564440,4652433,-21318,420114,-21323,420110,,564332,4652224,A043
9044,YANGUAS,,1,223,692,280,940.000,1792.000,76,85,56,9158,42218,555320,4661829,555320,4661829,-21951,420621,-21956,420617,,555212,4661621,A044
9046,LECINA,,1,110,372,249,630.000,1441.000,72,80,40,9599,22051,255951,4678475,751189,4678726,236,421311,231,421307,,751082,4678516,
9047,CAPELLA,,1,426,446,250,485.000,2728.000,76,81,46,9594,22080,780464,4677088,780464,4677088,2348,421142,2343,421138,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,780356,4676877,A047
9049,DEBANOS,,1,150,318,319,920.000,1719.000,72,82,30,9239,42075,587585,4639991,587585,4639991,-15639,415423,-15643,415419,,587477,4639782,
9050,CUZCURRITA,,1,698,1243,169,526.000,2085.000,75,85,52,9090,26056,499936,4708206,499936,4708206,-30003,423132,-30008,423128,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,499829,4707998,A050
9052,BECEITE,,1,48,1727,521,580.000,1339.000,76,86,49,9629,44037,768746,4524361,768746,4524361,1112,404932,1108,404928,LOS DATOS DE 2009-10 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,768637,4524151,A052
9059,STA. EULALIA DE GALLEGO,,1,1901,4009,247,427.000,3151.000,77,80,54,9322,50185,685574,4682553,685574,4682553,-4459,421621,-4504,421617,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,685467,4682343,A059
9062,BINIES,,1,161,271,176,650.000,2366.000,79,88,45,9177,22076,681570,4725183,681570,4725183,-4705,423925,-4710,423921,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,681463,4724973,A062
9063,SIGÜES,,1,506,526,175,595.000,2100.000,74,85,52,9185,50245,663062,4723515,663062,4723515,-10039,423846,-10044,423842,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,662955,4723305,A063
9064,ASPURZ,,1,396,533,143,547.000,1656.000,78,84,48,9202,31181,650754,4730933,650754,4730933,-10933,424255,-10937,424251,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,650647,4730723,A064
9065,LIEDENA,,1,1546,1561,174,412.000,2021.000,80,90,57,9203,31155,639935,4720646,639935,4720646,-11737,423729,-11742,423725,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,639828,4720436,A065
9071,ESTELLA,,1,943,1461,140,425.000,1438.000,80,88,58,9150,31097,579105,4724962,579105,4724962,-20205,424020,-20209,424016,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,578998,4724753,A071
9073,SANGÜESA,,1,275,279,174,393.000,1517.000,75,78,49,9205,31216,643344,4712744,643344,4712744,-11515,423311,-11519,423307,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,643237,4712534,A073
9074,ARCE,,1,1357,1358,172,455.000,1442.000,75,84,45,9076,9219,508565,4725201,508565,4725201,-25344,424043,-25349,424038,DATOS MODIFICADOS 1996-97 A 2012-13 (ANUARIO 13-14)                                                 ,508458,4724993,A074
9078,GARINOAIN,,1,47,55,173,495.000,1030.000,72,81,32,9208,31114,611419,4717013,611419,4717013,-13831,423548,-13836,423544,LOS DATOS DE 2009-10 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,611312,4716804,A078
9079,URROZ,,1,180,214,142,483.000,1279.000,78,88,55,9196,31243,630461,4736765,630461,4736765,-12419,424618,-12424,424614,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,630354,4736555,A079
9080,ZURIZA,,1,47,271,118,1187.000,2366.000,74,83,34,9177,22028,678169,4748074,678169,4748074,-4909,425149,-4913,425145,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,678062,4747864,A080
9085,RIEZU,,1,14,75,140,481.000,1238.000,65,74,33,9229,31120,585648,4735474,585648,4735474,-15712,424559,-15716,424555,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,585541,4735265,A085
9086,GARINOAIN,,1,76,456,173,494.000,990.000,74,81,13,9207,31114,610830,4717489,610830,4717489,-13857,423604,-13901,423560,DATOS MODIFICADOS DE 2010-11 A 2014-15 (ANUARIO 15-16)                                              ,610723,4717280,A086
9091,LASCELLAS,,1,501,3385,287,390.000,2077.000,74,74,50,9615,22027,739160,4663736,739160,4663736,-630,420519,-635,420515,,739052,4663526,A091
9093,OÑA,,1,1051,1093,136,570.000,1176.000,62,62,17,9026,9238,466222,4731713,466222,4731713,-32445,424411,-32450,424407,"LOS DATOS DE 2005-06, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",466115,4731506,A093
9095,BARBASTRO,,1,345,372,287,320.000,1441.000,72,72,9,9599,22048,759376,4657956,759376,4657956,759,420149,754,420145,"LOS DATOS DE 2007-08, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",759268,4657746,A095
9111,ORGAÑA,,1,2384,22579,253,542.000,2921.000,72,71,46,9441,25908,858548,4684601,858548,4684601,12040,421350,12035,421346,LOS DATOS DE 2005-06 Y DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                ,858440,4684390,A111
9120,MENDAVIA,,1,12010,85001,204,325.000,2262.000,73,73,52,9143,31165,565478,4696449,565478,4696449,-21215,422501,-21220,422457,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,565371,4696240,A120
9123,ANZANIGO,,1,1391,4009,209,580.000,3151.000,72,72,56,9316,22072,693373,4697534,693373,4697534,-3901,422419,-3906,422415,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,693266,4697324,A123
9127,ALCAINE,,1,594,2111,493,585.000,1577.000,59,59,38,9350,44011,693538,4536484,693538,4536484,-4202,405721,-4206,405717,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,693429,4536275,A127
9129,TRANQUERA - C.E.,,1,87,88,437,695.000,1311.000,49,49,32,9266,50192,602517,4562678,602517,4562678,-14638,411230,-14643,411226,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,602408,4562469,A129
9148,COLL DE NARGO,,1,69,70,291,530.000,1745.000,65,65,36,9446,25077,359738,4669703,855407,4677273,11807,420958,11803,420954,"LOS DATOS DE 2004-05, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",855299,4677062,A148
9150,ESTENOZ,,1,28,185,140,480.000,1009.000,64,64,43,9228,31120,588006,4733522,588006,4733522,-15529,424454,-15534,424450,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,587899,4733313,A150
9152,EUGUI,,1,69,2759,116,582.000,1459.000,57,57,44,9211,31098,621220,4758782,621220,4758783,-13049,425817,-13053,425813,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,621114,4758573,A152
9153,HORTA DE SAN JUAN,,1,115,407,496,418.000,1226.000,57,57,32,9646,43071,270606,4535756,775729,4537347,1631,405624,1626,405620,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,775620,4537137,A153
9155,BIOTA,CORRECCIÓN POR POZO SUCIO (DATOS 2013-14)                             ,1,144,2249,245,476.000,1517.000,53,53,39,9248,50051,649247,4680503,649247,4680503,-11126,421542,-11131,421538,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,649139,4680293,A155
9158,SAN MIGUEL DE PEDROSO,,1,192,1243,201,810.000,2085.000,52,52,26,9082,9048,482556,4692903,482556,4692903,-31243,422315,-31248,422311,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,482449,4692695,A158
9165,MIRANDA DE EBRO,,1,318,319,137,460.000,,45,45,16,9056,9219,506002,4726492,506002,4726492,-25536,424124,-25541,424120,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,505895,4726284,A165
9177,BATEA,,1,335,407,470,219.000,1326.000,47,47,32,9646,43022,265779,4554523,769622,4555743,1239,410627,1234,410623,DATOS MODIFICADOS 2002-03 A 2012-13 (ANUARIO 13-14)                                                 ,769513,4555533,A177
9185,CINTRUENIGO,,1,1120,1153,282,379.000,,45,45,26,9240,31072,598378,4659542,598378,4659542,-14838,420452,-14843,420448,"LOS DATOS DE 2005-06, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",598270,4659333,A185
9186,SADABA,,1,197,582,245,427.000,,45,45,31,9253,50230,642664,4682548,642664,4682548,-11611,421653,-11616,421649,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,642556,4682339,A186
9187,ERLA,,1,336,586,284,424.000,,43,43,28,9251,50100,669904,4664930,669904,4664930,-5641,420702,-5646,420658,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,669796,4664720,A187
9188,BERGUENDA,,1,350,351,137,483.000,,41,41,22,9048,1902,496451,4736999,496451,4736999,-30236,424705,-30241,424701,"LOS DATOS DE 2005-06, 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                    ",496344,4736791,A188
9189,ORON,,1,217,237,137,480.000,,45,45,18,9052,9219,501793,4724450,501793,4724450,-25841,424018,-25846,424014,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,501686,4724242,A189
9190,QUICENA,,1,160,2873,286,466.000,,42,42,25,9620,22195,719367,4669354,719367,4669354,-2043,420841,-2048,420838,LOS DATOS DE 2009-10 Y 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,719259,4669144,A190
9191,BARBUES,,1,534,2873,324,336.000,,43,42,22,9622,22049,713557,4651230,713557,4651230,-2520,415900,-2525,415856,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,713449,4651020,A191
9197,LEZA DE RIO LEZA,,1,283,534,242,517.000,,45,45,18,9140,26088,548900,4686832,548900,4686832,-22423,421953,-22428,421949,DATOS MODIFICADOS DE 1976 A 1980 DESDE 2011-12.DATOS DE 08-09 A 10-11 PENDIENTES DE REVISION        ,548792,4686624,A197
9221,LARRINOA,,1,22,90,112,585.000,,43,43,27,9069,1018,521968,4757764,521968,4757764,-24350,425817,-24355,425813,LOS DATOS DE 2008-09 A 2010-11 SON PROVISIONALES PENDIENTES DE REVISION                             ,521862,4757556,A221
1433,SAN ACISCLO,,1,163,189,9,32.000,1064.000,49,49,21,1248,27019,631158,4824168,146517,4832199,-72234,433329,-72240,433325,,146405,4831994,
1438,CHAVIN,,1,198,270,8,15.000,,44,44,8,1250,27066,613777,4830661,129626,4839941,-73524,433710,-73529,433706,,129514,4839736,
1443,SANTA MARIA DE MERA,,1,102,127,7,21.000,757.000,49,49,11,1254,15061,588135,4832611,104149,4843745,-75426,433826,-75432,433822,LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION                                       ,104037,4843540,
1542,PUENTE BARAZON,,1,150,152,96,317.000,797.000,48,48,3,1337,15079,580144,4745735,89917,4757502,-80108,425133,-80114,425129,LOS DATOS DE 2007-08 SON PROVISIONALES PENDIENTES DE REVISION                                       ,89806,4757296,
1544,A PONTE NOVA,,1,516,2804,96,309.000,951.000,48,48,2,1338,15079,579761,4744476,89444,4756271,-80126,425053,-80131,425048,LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION                                       ,89333,4756065,
1552,PUENTE CIRA,,1,545,551,121,278.000,1003.000,47,47,0,1349,36052,554314,4736495,63437,4750109,-82010,424642,-82015,424638,LOS DATOS DE 2006-07 SON PROVISIONALES PENDIENTES DE REVISION                                       ,63326,4749902,
5012,"DOCTOR, EL",,1,28,2275,929,1064.000,2128.000,79,88,12,5013,18098,529080,4193373,529080,4193373,-24010,375312,-24014,375308,MAXIMOS DE 2000-01 A 2004-05 Y 02_2015  Y DATOS 2016-17 PENDIENTES DE REVISION                      ,528969,4193166,
5086,DILAR,,1,41,128,1026,957.000,3392.000,51,51,5,5239,18068,451072,4102413,451072,4102413,-33301,370358,-33306,370353,DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION. DATOS DE 2013-14 PENDIENTES DE REVISON         ,450960,4102207,A05
5127,HUESNA,,1,678,682,963,22.000,,45,45,4,5336,41099,258615,4170249,258615,4170249,-54409,373849,-54414,373845,DE 2000-01 A 2004-05 MAXIMOS PENDIENTES DE REVISION                                                 ,258504,4170044,A49
8014,TRAMACASTILLA,,1,95,6394,565,1278.000,1842.000,67,67,49,8130,44235,620906,4475223,620906,4475223,-13430,402505,-13434,402502,,620797,4475014,3A02
8028,VILLALBA ALTA,,1,478,1398,542,1060.000,2024.000,76,76,56,8137,44182,671349,4498136,671349,4498136,-5828,403656,-5833,403653,,671240,4497927,3A01
