ref_ceh;nom_embalse;serv;comentario;muni_id;hoja_id;xutm;yutm;xutm30;yutm30;long;lat;longwgs84;latwgs84;mna;mnne;num_cuenca;nae;naem;xetrs89;yetrs89;cod_saih
7001;ANCHURICAS;1;;23904;887;541107;4228829;541107;4228829;-23150;381221;-23154;381217;910.2;909.5;7014;56;56;540995;4228622;04E04E1
7002;FUENSANTA;1;;2086;866;569288;4249740;569288;4249740;-21224;382333;-21228;382329;0;602.1;7018;63;77;569177;4249533;04S02E1
7003;CENAJO;1;;2037;868;607041;4247285;607041;4247285;-14629;382200;-14634;382156;435;433.4;7026;63;64;606930;4247078;04S03E1
7004;VIEJA, LA O NOVIA, LA;1;;23904;888;547599;4225776;547599;4225776;-22724;381041;-22728;381036;0;918.4;7015;56;56;547487;4225569;04E05E1
7005;ALFONSO XIII;1;;30013;890;622648;4231712;622648;4231712;-13556;381328;-13600;381323;0;300.9;7039;63;77;622537;4231504;02E03E1
7006;CIERVA, LA;1;;30029;912;632755;4213761;632755;4213761;-12912;380340;-12917;380336;392;390.8;7049;63;77;632644;4213553;01E01E1
7007;PUENTES;1;;30024;953;604154;4177251;604154;4177251;-14905;374410;-14909;374405;;464;7062;63;77;604043;4177043;05E03E1
7008;TALAVE;1;;2044;842;599111;4263060;599111;4263060;-15148;383035;-15152;383031;509;507.8;7031;63;77;599001;4262853;03E02E1
7009;CAMARILLAS;1;;2037;868;618194;4244610;618194;4244610;-13851;382028;-13856;382024;349.6;348.6;7033;61;61;618083;4244403;03E03E1
7010;SANTOMERA;1;;30901;913;667721;4218330;667721;4218330;-10514;380548;-10519;380543;0;100.4;7068;50;50;667610;4218122;01E02E1
7011;ARGOS;1;;30017;890;611025;4225775;611025;4225775;-14357;381021;-14402;381016;411.2;413.2;7037;48;48;610914;4225568;02E02E1
7012;VALDEINFIERNO;1;LOS DATOS DE 2012-13 ESTAN PENDIENTES DE REVISION                                                                       ;30024;952;591229;4184933;591229;4184933;-15749;374824;-15754;374819;689.7;697.4;7059;50;50;591118;4184725;05E02E1
7013;OJOS;1;;30011;912;644485;4225187;644485;4225187;-12103;380945;-12107;380940;139.8;138.6;7046;39;39;644374;4224979;02S01E1
7014;MAYES;1;;30031;912;642373;4219499;642373;4219499;-12234;380641;-12238;380637;276.9;276.3;7997;39;39;642262;4219291;02E01E1
7015;PEDRERA, LA;1;LOS DATOS DE 2016-17  ESTAN PENDIENTES DE REVISION                                                                      ;3099;913;686530;4211770;686530;4211770;-5229;380202;-5233;380157;0;105;7996;36;36;686419;4211562;07E01E1
7016;CREVILLENTE;1;;3059;893;693330;4236870;693330;4236870;-4726;381530;-4730;381526;0;145;7995;29;30;693219;4236662;07E02E1
7017;TAIBILLA;1;;2055;888;564712;4227561;564712;4227561;-21540;381135;-21544;381130;;951.3;7021;26;27;564600;4227354;04E06E1
7018;ALGECIRAS;1;;30008;933;641846;4194772;641846;4194772;-12313;375320;-12317;375315;267.5;265;7065;20;21;641735;4194564;01E05E1
